date,venue,bands/0,bands/1,bands/2,bands/3,bands/4,bands/5,bands/6,bands/7,bands/8,bands/9,bands/10,bands/11,bands/12,bands/13,bands/14,bands/15,bands/16,bands/17
"Tue March 17, 2009",1982,St. Patty's Day! Free Beer 9pm to 10pm,TrumpsWig,Toy Grenades,Temporary Taboo,ST. PATTY'S Midnight Happy Hour. NO COVER!,,,,,,,,,,,,,
"Wed March 18, 2009",1982,Walk of Shame Comedy Tour,JC Currais,,,,,,,,,,,,,,,,
"Wed March 18, 2009",Backstage Lounge,Marion Crane,Drifters On Nitrous,Phoenix Block,,,,,,,,,,,,,,,
"Wed March 18, 2009",Market Street Pub,MindRise,Made of Hemp,Spiritual Rez,,,,,,,,,,,,,,,
"Wed March 18, 2009",The Kickstand,Isabella,Lost Apparitions,Turn Thieves,,,,,,,,,,,,,,,
"Wed March 18, 2009",Wayward Council,Colton Owsley,Hello Halebopp!,Lindsey Mills,Cootie Shot,,,,,,,,,,,,,,
"Thu March 19, 2009",1982,The Manor,Andrea Friedlander,BoCoker,Allie Wetzel,Jeff Jones,,,,,,,,,,,,,
"Thu March 19, 2009",Backstage Lounge,PRIVATE PARTY,,,,,,,,,,,,,,,,,
"Thu March 19, 2009",Orange and Brew,Ars Phoenix,Rabbit Punch,tealights,,,,,,,,,,,,,,,
"Thu March 19, 2009",Wayward Council,Averkiou,Freedom Hawk,Waylon Thornton & Heavy Hands ,Altamira,Antarctic,,,,,,,,,,,,,
"Fri March 20, 2009",1982,Chupaskabra,CD Release Show!,The Neighbourhood Watch,Assassinate the Scientist ,,,,,,,,,,,,,,
"Fri March 20, 2009",Atlantic,Umoja Orchestra,,,,,,,,,,,,,,,,,
"Fri March 20, 2009",Backstage Lounge,Validus,tba,Broken Self,,,,,,,,,,,,,,,
"Fri March 20, 2009",Common Grounds,Laserhead,The Righteous Kind,The Rooze,,,,,,,,,,,,,,,
"Fri March 20, 2009",The Kickstand,The Early Twenties,Just a Scientist,Quadrophones,,,,,,,,,,,,,,,
"Fri March 20, 2009",Wayward Council,Assassinate the Scientist ,Spanish Gamble,Criminal Culture,Fireside Social,Homemade HandGrenade,,,,,,,,,,,,,
"Sat March 21, 2009",1982,Whole Wheat Bread,Stella,Television Delaware,Jacob's Ladder,,,,,,,,,,,,,,
"Sat March 21, 2009",Atlantic,Morningbell,Bang Bang Boom,Badge,,,,,,,,,,,,,,,
"Sat March 21, 2009",Backstage Lounge,ROCK 104 LOCALS ONLY,SIN CITY,The Sevilles,Last Will Illuminate,,,,,,,,,,,,,,
"Sat March 21, 2009",Brophy's Irish Pub,Other Voices,,,,,,,,,,,,,,,,,
"Sat March 21, 2009",House Party,Chronic Youth,Snack Truck,Diet coke heads,,,,,,,,,,,,,,,
"Sat March 21, 2009",Market Street Pub,Hours Eastly,The Pull Out,Diocious,,,,,,,,,,,,,,,
"Sat March 21, 2009",Tim and Terry's,Stevie D and The No Shows,Arms Harbor,Thunder Over Water,,,,,,,,,,,,,,,
"Sun March 22, 2009",1982,Parting Jets For Jazzmen,E For Explosion,Yearling,Amanda Gunnels,My Summer Semester,,,,,,,,,,,,,
"Sun March 22, 2009",Radio-100.5 the Buzz,gainesville live with dianya and glyph,,,,,,,,,,,,,,,,,
"Sun March 22, 2009",The Kickstand,Former Humans,Deserter (NY),Lil Daggers,Ancient River,,,,,,,,,,,,,,
"Mon March 23, 2009",1982,Video Game Night,,,,,,,,,,,,,,,,,
"Tue March 24, 2009",1982,Rock-A-Thon:,Lemon Hill,Benny C & The Jams,Synapse,The M-1's,,,,,,,,,,,,,
"Tue March 24, 2009",The Kickstand,Sinaloa,Young Livers,Diet Cokeheads,We Moderns,,,,,,,,,,,,,,
"Tue March 24, 2009",Wayward Council,bucky sinister,al burian,cassie snieder,andy riverbed,la cara oculta,,,,,,,,,,,,,
"Wed March 25, 2009",1982,Rev Peytons Big Damn Band,Hamhock & Slide,For he who Hung the Moon,The Wooden,,,,,,,,,,,,,,
"Wed March 25, 2009",Backstage Lounge,Passing in Dreams,Katsumoto,No Bragging Rights,,,,,,,,,,,,,,,
"Wed March 25, 2009",Common Grounds,Amanda Palmer (of The Dresden Dolls),Vermillion Lies,,,,,,,,,,,,,,,,
"Wed March 25, 2009",Market Street Pub,Toubab Krewe,Jar-E,,,,,,,,,,,,,,,,
"Wed March 25, 2009",The Kickstand,Little High Little Low ,Lollipop Factory,Lindsey Mills,The M1's,,,,,,,,,,,,,,
"Thu March 26, 2009",1982,As Tall as Lions,Dear and the Headlights,Band Marino,,,,,,,,,,,,,,,
"Thu March 26, 2009",Backstage Lounge,tba,Used Blues,A to Z,,,,,,,,,,,,,,,
"Thu March 26, 2009",Common Grounds,North Mississippi All Stars,Hill Country Revue,,,,,,,,,,,,,,,,
"Thu March 26, 2009",Durty Nelly's,Michael Claytor & his Friends,Justin Jones and the Driving Rain,,,,,,,,,,,,,,,,
"Thu March 26, 2009",The Kickstand,The Deepsea Goes,Surfers on Acid,Nomenclature,,,,,,,,,,,,,,,
"Thu March 26, 2009",Wayward Council,Scum of the Earth,nervous systems,La Cara Oculta,Purple Rhinestone eagle,,,,,,,,,,,,,,
"Fri March 27, 2009",1982,D.P. CD Release Party,,,,,,,,,,,,,,,,,
"Fri March 27, 2009",Atlantic,SPAM ALLSTARS,,,,,,,,,,,,,,,,,
"Fri March 27, 2009",Backstage Lounge,Saint Diablo,Flexplate,TrumpsWig,,,,,,,,,,,,,,,
"Fri March 27, 2009",Common Grounds,Duppies,Magadog,Brentford Sound,,,,,,,,,,,,,,,
"Fri March 27, 2009",Durty Nelly's,The Damn Wrights,Hollowbody Hellraisers,Bob Wayne and the Outlaw Carnies,,,,,,,,,,,,,,,
"Fri March 27, 2009",Phillips Ctr For The Perf Arts,3rd Stone,The Original Wailers,,,,,,,,,,,,,,,,
"Fri March 27, 2009",Thai Fusion Cafe,Boss Lady and the Company,,,,,,,,,,,,,,,,,
"Fri March 27, 2009",The Kickstand,attachedhands,The Pauses,Moon Climb The Wall,TV Club,,,,,,,,,,,,,,
"Fri March 27, 2009",UF - Reitz Union Amphitheater,Deerhunter,Giuseppe,,,,,,,,,,,,,,,,
"Fri March 27, 2009",UF - School of Music,CANCELED>>,UnBalanced Connection 44,,,,,,,,,,,,,,,,
"Fri March 27, 2009",Warehouse Show,Dirty Fist,Ricky Kendall,Jon Lash Extravaganza,Something With Hands,,,,,,,,,,,,,,
"Sat March 28, 2009",1982,Pseudo-Kids (fka The Dead Songwriters) EP Release,Ars Phoenix,Tanks In Series,,,,,,,,,,,,,,,
"Sat March 28, 2009",Atlantic,Towers of Hanoi,Grabass Charlestons,All Night Drug Prowling Wolves,,,,,,,,,,,,,,,
"Sat March 28, 2009",Backstage Lounge,Mannequin Made,Benny Cannon,TJ Kelly Band,The Butterfly Theory,,,,,,,,,,,,,,
"Sat March 28, 2009",Common Grounds,The Black Lips,Gentleman Jesse & His Men,Ninja Gun,,,,,,,,,,,,,,,
"Sat March 28, 2009",Durty Nelly's,Hawks and Doves,"Have Gun, Will Travel",The Enablers,,,,,,,,,,,,,,,
"Sat March 28, 2009",Hells Kitchen,Audrey Rose,DJtechnic,,,,,,,,,,,,,,,,
"Sat March 28, 2009",Market Street Pub,Caliber,A to Z,Clayton,Kellen Malloy,,,,,,,,,,,,,,
"Sat March 28, 2009",Thomas Center,Inside Joke Band,,,,,,,,,,,,,,,,,
"Sat March 28, 2009",Warehouse Show,Inside Joke Band,,,,,,,,,,,,,,,,,
"Sun March 29, 2009",1982,The Butterfly Theory,Nomenclature,Murphee K,,,,,,,,,,,,,,,
"Sun March 29, 2009",Common Grounds,The Presets,Golden Filter,,,,,,,,,,,,,,,,
"Sun March 29, 2009",Radio-100.5 the Buzz,Gainesville Live,You just missed it,glypher,,,,,,,,,,,,,,,
"Sun March 29, 2009",The Kickstand,Spanish Gamble,Let Me Run,Giuseppe,Steady State,Prolly,,,,,,,,,,,,,
"Mon March 30, 2009",1982,Video Game Night,,,,,,,,,,,,,,,,,
"Mon March 30, 2009",Backstage Lounge,Fighting Kangaroos,Temporary Taboo,Bump,,,,,,,,,,,,,,,
"Tue March 31, 2009",1982,OCEANA,Isabella,Stella,Cities,,,,,,,,,,,,,,
"Tue March 31, 2009",Common Grounds,--Matt & Kim CANCELLED--,Squeaky,Laserhead,,,,,,,,,,,,,,,
"Wed April 1, 2009",1982,The Early Twenties,Superfish,Making Eyes and the Toy Tambourine,Deviant Court,,,,,,,,,,,,,,
"Wed April 1, 2009",Backstage Lounge,Just Say When,Away With You,Unchained Chaos,,,,,,,,,,,,,,,
"Wed April 1, 2009",Market Street Pub,8 Track Automatic,Parting Jets for Jazz Men,In Violent Times,House Arrest,,,,,,,,,,,,,,
"Thu April 2, 2009",1982,video game nite w/ dj coco puffs,,,,,,,,,,,,,,,,,
"Thu April 2, 2009",Backstage Lounge,Crisis in Hollywood,Victim of Circumstance,Benjamin Del Shreve,,,,,,,,,,,,,,,
"Fri April 3, 2009",1982,The Northernness,Paxico via Mexico,Maida Vale,Chelsea Carnes,,,,,,,,,,,,,,
"Fri April 3, 2009",Atlantic,harvest of hope benefit,Validus,made of hemp,MindRise,bandits,,,,,,,,,,,,,
"Fri April 3, 2009",Common Grounds,A Benefit for Finnegan Garity & Autism Research,Grabass Charlestons,Whiskey and Co.,Children's Children,,,,,,,,,,,,,,
"Fri April 3, 2009",Lightnin' Salvage,Boilin' Oil,,,,,,,,,,,,,,,,,
"Fri April 3, 2009",The Kickstand,Light Yourself on Fire,Hot Graves,Millions,,,,,,,,,,,,,,,
"Sat April 4, 2009",1982,Assassinate the Scientist ,Aleutian Low,TransFM,Onslaught Dynamo,,,,,,,,,,,,,,
"Sat April 4, 2009",Atlantic,Quadrophones,the jeanmarie,savages,,,,,,,,,,,,,,,
"Sat April 4, 2009",Backstage Lounge,Bryan Malpass,Moms Attic,Toy Grenades,,,,,,,,,,,,,,,
"Sat April 4, 2009",Brophy's Irish Pub,Used Blues,,,,,,,,,,,,,,,,,
"Sat April 4, 2009",Common Grounds,Maria Taylor,The Whispertown 2000,,,,,,,,,,,,,,,,
"Sat April 4, 2009",Hells Kitchen,audrey rose and dj technique,,,,,,,,,,,,,,,,,
"Sat April 4, 2009",Market Street Pub,Blue Caimans,Mannequin Made,Bird Street Players,Broken Globe,,,,,,,,,,,,,,
"Sun April 5, 2009",1982,We Shot the Moon,The Fold,Love Always,Eric Throne,Camryn,,,,,,,,,,,,,
"Sun April 5, 2009",Atlantic,coliseum,Young Livers,Liquid Limbs,cutman,virgins,,,,,,,,,,,,,
"Sun April 5, 2009",Common Grounds,Home Van Benefit,Duppies,Chupaskabra,The Damn Wrights,Battle!,,,,,,,,,,,,,
"Sun April 5, 2009",Radio-100.5 the Buzz,Gainesville Live w/ Glyph and D,,,,,,,,,,,,,,,,,
"Sun April 5, 2009",Wayward Council,The Besties,Waylon Thornton & Heavy Hands ,The Platitudes,The Invisible Dolphin,,,,,,,,,,,,,,
"Mon April 6, 2009",Backstage Lounge,Born Empty,Temporary Taboo,Black Star Casino,,,,,,,,,,,,,,,
"Mon April 6, 2009",Wayward Council,DJ Dog Dick,Ironing,Narwhalz,Sewn Leather,,,,,,,,,,,,,,
"Wed April 8, 2009",Backstage Lounge,The Banner Year,Roadside Music,,,,,,,,,,,,,,,,
"Wed April 8, 2009",Civic Media Center,Little High Little Low ,Lindsey Mills,Rio de la Muerte,,,,,,,,,,,,,,,
"Wed April 8, 2009",Common Grounds,Regwa,3rd Stone,,,,,,,,,,,,,,,,
"Thu April 9, 2009",1982,MISCHIEF BREW,Douglas Shields & The X-Factors,Making Eyes & The Toy Tambourine,Gville Liberation Orchestra,Stevie D and The No Shows,,,,,,,,,,,,,
"Thu April 9, 2009",Backstage Lounge,Antique Scream,Backline Rush,tba,,,,,,,,,,,,,,,
"Thu April 9, 2009",Common Grounds,Diocious,Greenhouse Lounge,Boss Lady and the Company,,,,,,,,,,,,,,,
"Thu April 9, 2009",Wayward Council,Rough Shapes,Scum of the Earth,Bad Karma,Time killers,La Cara Oculta,,,,,,,,,,,,,
"Fri April 10, 2009",1982,There for Tomorrow,Dear Dakota,Parting Jets for Jazz Men,Allie Wetzel,,,,,,,,,,,,,,
"Fri April 10, 2009",Atlantic,NINJA GUN,MIKE HALE,devon stuart (Takers),The Ones to Blame,coffee project,awesome city limits!,,,,,,,,,,,,
"Fri April 10, 2009",Backstage Lounge,Whiplash,None Like Us,Ghost Of Gloria,,,,,,,,,,,,,,,
"Fri April 10, 2009",Common Grounds,Averkiou,So Pastel,Diet Coke Heads,Julie Karr,,,,,,,,,,,,,,
"Fri April 10, 2009",Warehouse Show,Caustic,The Gothsicles,,,,,,,,,,,,,,,,
"Fri April 10, 2009",Wayward Council,Deserter,Cellgraft,Five Suns,Nervous Breakdown,Unholy War,,,,,,,,,,,,,
"Sat April 11, 2009",1982,The Manor,The Rooze,Big Boat,Janna Pelle,,,,,,,,,,,,,,
"Sat April 11, 2009",Atlantic,Oh Sanders,oh no! & the tiger pit,the jameses,,,,,,,,,,,,,,,
"Sat April 11, 2009",Backstage Lounge,Local Traffic,Youth In Asia,Temporary Taboo,,,,,,,,,,,,,,,
"Sat April 11, 2009",Common Grounds,Against Me!,Off With Their Heads,Spanish Gamble,,,,,,,,,,,,,,,
"Sat April 11, 2009",Market Street Pub,Funkatron,Funks Inc,Benny C and the Jam,Jeremy Richard,,,,,,,,,,,,,,
"Sat April 11, 2009",The Kickstand,Send Away Stranger,Chupaskabra,Badge,Twin Swan Telescopes,,,,,,,,,,,,,,
"Sun April 12, 2009",Backstage Lounge,UDTV CHOIR,David Owen,Mark BAM BAM McConnell,Mike Ozy,WOLFMAN,,,,,,,,,,,,,
"Sun April 12, 2009",Wayward Council,Slingshot Dakota,Hello Halebopp,Charity,,,,,,,,,,,,,,,
"Mon April 13, 2009",1982,Feed the Bears,Stages and Stereos,The Sophomore Attempt,Without Hatred,,,,,,,,,,,,,,
"Mon April 13, 2009",The Kickstand,La Otracina,The Future Now,Nomenclature,Tanks in Series,,,,,,,,,,,,,,
"Tue April 14, 2009",1982,,Freshman 15,The Years Gone By,City Lights,Eric Throne,,,,,,,,,,,,,
"Wed April 15, 2009",1982,Brother Captain King,Shut Up and Dance,The Gills,Research Turtles,Shattered Symphony,,,,,,,,,,,,,
"Wed April 15, 2009",Backstage Lounge,Under the Bridge,Forever From Now,,,,,,,,,,,,,,,,
"Wed April 15, 2009",Common Grounds,Josh Kelley,Ryan Cabrera,Tim Brantley,Brandon Whyde,,,,,,,,,,,,,,
"Thu April 16, 2009",1982,FREE BEER 9:30-10:30,Moonshine Trio,Surfers on Acid,"Bo Coker
",,,,,,,,,,,,,,
"Thu April 16, 2009",Backstage Lounge,Unknown Avenger,Chaotic Theorem,Last Minute Stars,,,,,,,,,,,,,,,
"Thu April 16, 2009",Common Grounds,Colourslide,Dear Dakota,Free Show!,,,,,,,,,,,,,,,
"Thu April 16, 2009",Orange and Brew,Pseudo Kids ,Joe's Feral Cats,The Manor,,,,,,,,,,,,,,,
"Fri April 17, 2009",1982,C. Scott,Munkeez Strikin' Matchiz,Lolita,Ampersand,Nue Breed,,,,,,,,,,,,,
"Fri April 17, 2009",Atlantic,Anchor Arms,Gatorface,Onslaught Dynamo,Hometeam,The Last Resolve,,,,,,,,,,,,,
"Fri April 17, 2009",Backstage Lounge,Tony Smotherman,Long Strange Day,Dose of Reality,,,,,,,,,,,,,,,
"Fri April 17, 2009",Civic Media Center,PIERCE PETTIS,,,,,,,,,,,,,,,,,
"Fri April 17, 2009",Common Grounds,Umoja Orchestra,The Babylonians,,,,,,,,,,,,,,,,
"Fri April 17, 2009",Fat Tuesdays,Wild Wes and the All Stars,(playing Sublime),Temporary Taboo,(playing Hendrix covers),,,,,,,,,,,,,,
"Fri April 17, 2009",Kickin' Devil Cafe,Nancy Luca,,,,,,,,,,,,,,,,,
"Fri April 17, 2009",The Kickstand,Electronic SubSouth Show 49 featuring...,Collection Of The Late Howell Bend,No Limit Cycle,Often,Realicide,The Viirus,,,,,,,,,,,,
"Sat April 18, 2009",1982,A to Z,Lemon Hill,Awestruck,Unarmed Monster,,,,,,,,,,,,,,
"Sat April 18, 2009",Atlantic,BLUE CHIPS,D.P.,NU BREED W/ monkey strikin matches,BEAN$,,,,,,,,,,,,,,
"Sat April 18, 2009",Backstage Lounge,Wait Wait,Pellets On Target,Weapon Of Fate,The Manor,,,,,,,,,,,,,,
"Sat April 18, 2009",Brophy's Irish Pub,Other Voices,,,,,,,,,,,,,,,,,
"Sat April 18, 2009",Civic Media Center,Greenland is Melting,Baby Rat,Rabbit Punch,Gutsplitter,Michael Parallax,,,,,,,,,,,,,
"Sat April 18, 2009",Common Grounds,4:20 FEST hosted by BIG ULY,MindRise,Boss Lady & The Company,Savi Fernandez Band,,,,,,,,,,,,,,
"Sat April 18, 2009",Market Street Pub,Supervillians,Skuff'd Shoes,Alex Baugh & The Crazy Carls,,,,,,,,,,,,,,,
"Sat April 18, 2009",The Kickstand,Waylon Thornton & Heavy Hands ,Spanish Gamble,Black River Falls,Assassinate the Scientist ,To Be Hated,,,,,,,,,,,,,
"Sat April 18, 2009",Unified Training Center,Reggae & dancehall music,"deejays, singers and selectors",,,,,,,,,,,,,,,,
"Sun April 19, 2009",1982,North Central Florida Blues Jam,,,,,,,,,,,,,,,,,
"Sun April 19, 2009",Backstage Lounge,The Chris McCarty Band,Kellan Malloy,,,,,,,,,,,,,,,,
"Sun April 19, 2009",Skate Station,Gainesville Roller Rebels First Home Bout!,Barbies v. Goths,Whiskey and Co.,,,,,,,,,,,,,,,
"Sun April 19, 2009",The Kickstand,Cootie Shot,Bobe Street,Nuclear Doodles,,,,,,,,,,,,,,,
"Mon April 20, 2009",1982,4:20 Video Game Night!,,,,,,,,,,,,,,,,,
"Mon April 20, 2009",Market Street Pub,The Babylonians,Kevin Batchelor,Duppies,,,,,,,,,,,,,,,
"Tue April 21, 2009",1982,WE ARE THE UNION,A Billion Ernies,Shotgun Diplomacy,Call It Conflict,,,,,,,,,,,,,,
"Tue April 21, 2009",Common Grounds,Electric 6,Living Things,,,,,,,,,,,,,,,,
"Wed April 22, 2009",1982,Beep Beep,The Show Is The Rainbow,Elepants,White Elephant Gift Exchange,The Early Twenties,,,,,,,,,,,,,
"Wed April 22, 2009",Backstage Lounge,Amsden,Contact Point,One Pin short,Holding On To Sound,,,,,,,,,,,,,,
"Wed April 22, 2009",Common Grounds,Dinosaur Jr.,Dead Confederate,,,,,,,,,,,,,,,,
"Wed April 22, 2009",Flaco's Cuban Bakery,Michael Claytor & his Friends,Devon Stuart,Nicole Miglis,The Lower 13th Street Jazz Band,,,,,,,,,,,,,,
"Wed April 22, 2009",Stephen C. O'Connell Center,Lupe Fiasco,,,,,,,,,,,,,,,,,
"Wed April 22, 2009",The Kickstand,Battle!,Kingdom,The Flying Dutchmen,Legacies,Red Mouth,,,,,,,,,,,,,
"Thu April 23, 2009",1982,Anchor Arms,Assassinate the Scientist ,Spanish Gamble,,,,,,,,,,,,,,,
"Thu April 23, 2009",Backstage Lounge,P O P  E V I L,The Butterfly Theory,Ambertone,,,,,,,,,,,,,,,
"Thu April 23, 2009",Common Grounds,Passafire,Diocious,High Life,A to Z,,,,,,,,,,,,,,
"Fri April 24, 2009",Atlantic,DJ DONNA 80'S DANCE NIGHT,,,,,,,,,,,,,,,,,
"Fri April 24, 2009",Backstage Lounge,Shawn Fisher & the JG'S,Crowfield,Three Minutes of Sunset,The City Skyscape,,,,,,,,,,,,,,
"Fri April 24, 2009",Brophy's Irish Pub,Hard Luck Society,Kathy Sohar,,,,,,,,,,,,,,,,
"Fri April 24, 2009",Common Grounds,The Shoddy Beatles,King of Spain,Just a Scientist,,,,,,,,,,,,,,,
"Fri April 24, 2009",The Kickstand,Baby Rat,Harper Sublette,I KILL PXLS,Jesus Chrysler Supercar ,Lissajou,Skiffle,,,,,,,,,,,,
"Fri April 24, 2009",Tim and Terry's,Building Rockets,,,,,,,,,,,,,,,,,
"Sat April 25, 2009",1982,Sing it Loud,Morning Lights,Friday Night Boys,Artist vs Poet,The Summer Set,,,,,,,,,,,,,
"Sat April 25, 2009",Atlantic,Bang Bang Boom,pseudo kids,playground rivals,,,,,,,,,,,,,,,
"Sat April 25, 2009",Backstage Lounge,Suggestion,Kings of Awesome,The Sevilles,,,,,,,,,,,,,,,
"Sat April 25, 2009",House Party,Boss Lady and the Company,Dale Crider,D.P. & Dustin Pence,Friz,Patrick Koch,Susan Perko,Soundpire,The Tazers,The Tin Heart Project,,,,,,,,,
"Sat April 25, 2009",Market Street Pub,Hours Eastly,moodhosa,The Pull Out,Split Tones,,,,,,,,,,,,,,
"Sun April 26, 2009",Common Grounds,Home Van Benefit,Grabass Charlestons,Liquid Limbs,Spanish Gamble,Crash Pad,,,,,,,,,,,,,
"Mon April 27, 2009",1982,Video Game Night  $1 Beers,,,,,,,,,,,,,,,,,
"Mon April 27, 2009",Backstage Lounge,Shattered Symphony,I Am God,Maniacal Swifty,,,,,,,,,,,,,,,
"Tue April 28, 2009",1982,RICHARD LLOYD & The Sufimonkey Trio,The Righteous Kind,Pseudo-Kids,Ars Phoenix,Ancient River,,,,,,,,,,,,,
"Wed April 29, 2009",Backstage Lounge,Backline Rush,Maniacal Swifty,Undone Perfection,,,,,,,,,,,,,,,
"Wed April 29, 2009",Common Grounds,Big Business,Tweak Bird,,,,,,,,,,,,,,,,
"Wed April 29, 2009",Flaco's Cuban Bakery,Michael Claytor & his Friends,Devon Stuart,,,,,,,,,,,,,,,,
"Thu April 30, 2009",1982,Pilly Wete,Hey Buddy,Big Boat,$1 BEERS!,,,,,,,,,,,,,,
"Thu April 30, 2009",Backstage Lounge,Sterling Y,Lee Anna James,Azmyth,,,,,,,,,,,,,,,
"Fri May 1, 2009",1982,Chupaskabra,No More,Victory Blvd,,,,,,,,,,,,,,,
"Fri May 1, 2009",Atlantic,Giuseppe,Liquid Limbs,seagrapes,,,,,,,,,,,,,,,
"Fri May 1, 2009",Backstage Lounge,Coming Undone,High Life,ROJO DIABLO,,,,,,,,,,,,,,,
"Fri May 1, 2009",Common Grounds,David Cook,Ryan Star,,,,,,,,,,,,,,,,
"Fri May 1, 2009",Lightnin' Salvage,Boilin' Oil,,,,,,,,,,,,,,,,,
"Fri May 1, 2009",The Kickstand,Cootie Shot ,Little High Little Low ,Badge,"Melanie Greenlee, and Sails Set For Shipwreck ",,,,,,,,,,,,,,
"Sat May 2, 2009",1982,Droan,Elysium,Routine Scheme,,,,,,,,,,,,,,,
"Sat May 2, 2009",Atlantic,Micah Shalom & the Babylonians,,,,,,,,,,,,,,,,,
"Sat May 2, 2009",Backstage Lounge,Point Blank,Orange Sky,Deimos,,,,,,,,,,,,,,,
"Sat May 2, 2009",Market Street Pub,Funkatron,The Rooze,Blue Caimans,,,,,,,,,,,,,,,
"Sun May 3, 2009",1982,(Paxico Via Mexico,Your Best Friend,Mannequin Made,Love Always,Benny C,,,,,,,,,,,,,
"Sun May 3, 2009",Durty Nelly's,Friz,A Parcel Of Rogues,,,,,,,,,,,,,,,,
"Sun May 3, 2009",The Kickstand,Only Thieves,Curious Animals,Assassinate the Scientist ,Kiiks,John Gold and the Old Souls,,,,,,,,,,,,,
"Mon May 4, 2009",1982,Video Game Night  $1 Beers,,,,,,,,,,,,,,,,,
"Mon May 4, 2009",Wayward Council,Baby Teeth,Deserter,Grab Bag,Moral Sects,Republicorpse,,,,,,,,,,,,,
"Tue May 5, 2009",1982,Live Stand-Up Comedy and Bands,JC Currais,Sarcastic,,,,,,,,,,,,,,,
"Tue May 5, 2009",Common Grounds,Jason Isbell & The 400 Unit,Red Cortez,,,,,,,,,,,,,,,,
"Tue May 5, 2009",Wayward Council,Paul Baribeau,Chris Clavin,DiffeQ,"hello, halebopp (aka Sara Cilantro)",Evan Gornik,Super Famicom,Brian Lugo,Garret Oliver,TBA,Little High Little Low ,,,,,,,,
"Wed May 6, 2009",Backstage Lounge,Cain's Fury,Afterglow Radio,Raymondale,,,,,,,,,,,,,,,
"Wed May 6, 2009",Lightnin' Salvage,Avocado,,,,,,,,,,,,,,,,,
"Thu May 7, 2009",1982,MP3J Sterlo,,,,,,,,,,,,,,,,,
"Thu May 7, 2009",Backstage Lounge,Southern Fried Funk,Shut Up and Dance,Senate,,,,,,,,,,,,,,,
"Thu May 7, 2009",Common Grounds,Mice Parade,Gregory & The Hawk,,,,,,,,,,,,,,,,
"Fri May 8, 2009",1982,***Show Cancelled*** No Cover. Cheap Drinks.,,,,,,,,,,,,,,,,,
"Fri May 8, 2009",Atlantic,Anchor Arms,Assassinate the Scientist ,homemade handgrenades,the future now,Waylon Thornton and the Heavy Hands,,,,,,,,,,,,,
"Fri May 8, 2009",Backstage Lounge,Paint Me Irrational,The Leeside,tba,,,,,,,,,,,,,,,
"Fri May 8, 2009",Durty Nelly's,Will Quinlan and the Diviners,Lauris Vidal,The Takers,,,,,,,,,,,,,,,
"Sat May 9, 2009",1982,Night Nurses From Jersey,The M-1's,Pegasi (The Neighbourhood Watch - 1),Tasha Bezesky,,,,,,,,,,,,,,
"Sat May 9, 2009",Atlantic,By The Horns,Impurity,echoes of violence,with my bear hands,,,,,,,,,,,,,,
"Sat May 9, 2009",Backstage Lounge,5 Day Beginning,The Dividing Line,Solkry,,,,,,,,,,,,,,,
"Sat May 9, 2009",The Kickstand,Heavy Flow,Saucy Yoda,Chicken and Whiskey,After The Bomb Baby,Mythological Horses,The Winslows,Clown Car Commute,Repeat Sex Offenders,Not Them,DJ Ernie spinning the jams,,,,,,,,
"Mon May 11, 2009",1982,Video Game Night $1 Beers,,,,,,,,,,,,,,,,,
"Mon May 11, 2009",Backstage Lounge,Otenki,The Beretter,I Am God,,,,,,,,,,,,,,,
"Mon May 11, 2009",The Kickstand,WORLDS,Dead Friends,Cult Ritual,Antilles,,,,,,,,,,,,,,
"Tue May 12, 2009",1982,The Scenic,My Summer Semester,Karrigan,The Sophomore Attempt,,,,,,,,,,,,,,
"Tue May 12, 2009",Atlantic,Former Humans,civilization,vicious fishes,hot graves,,,,,,,,,,,,,,
"Tue May 12, 2009",Wayward Council,Stephen Steinbrink / French Quarter ,Hell-Kite,The Mystery Books,Dirty Fist,,,,,,,,,,,,,,
"Wed May 13, 2009",1982,BOMBADIL,Shattered Symphony,Maniacal Swifty,Rio de la Muerte,Jeremy Richard,,,,,,,,,,,,,
"Wed May 13, 2009",Backstage Lounge,TrumpsWig,Orange Tulip Conspiracy,To All My Dear Friends,,,,,,,,,,,,,,,
"Wed May 13, 2009",The Kickstand,Screaming Females,worry ship,So Pastel,The Future Now,,,,,,,,,,,,,,
"Thu May 14, 2009",1982,Fake Problems,Bomb the Music Industry,Liquid Limbs,,,,,,,,,,,,,,,
"Thu May 14, 2009",Backstage Lounge,tba,Something Universal,Cory Lamb,,,,,,,,,,,,,,,
"Thu May 14, 2009",Common Grounds,Blacksnake,Ancient River,Badge,,,,,,,,,,,,,,,
"Thu May 14, 2009",Durty Nelly's,Kenneth Brian,,,,,,,,,,,,,,,,,
"Thu May 14, 2009",Wayward Council,"Crackbox (NOLA DIY Pop Punx), Necrohippies",HELLDISTORT,Assassinate the Scientist ,,,,,,,,,,,,,,,
"Fri May 15, 2009",1982,Astronautalis,Bleubird,DP,Just a Scientist,,,,,,,,,,,,,,
"Fri May 15, 2009",Atlantic,Quadrophones,Oh Sanders,visitations,,,,,,,,,,,,,,,
"Fri May 15, 2009",Backstage Lounge,Honey Henny Lime,Pilly Wete,The Manor,,,,,,,,,,,,,,,
"Fri May 15, 2009",Civic Media Center,The Terrazzo Four,The Delicate Clappers,Loggerhead Shrike,Tedbow,,,,,,,,,,,,,,
